conflict_type	record_type	record_id	lemma	details	candidates	sources
BINYAN_AMBIGUOUS	lexeme	LX-10ba36eee3	הֵעִיר	evidence supports several binyanim: HIFIL, PAAL	"[{""method"": ""entry_headword_exact"", ""root"": ""ע-ו-ר"", ""binyan"": ""PAAL"", ""binyan_raw"": ""קל"", ""record"": ""wikt:entry:p53240:r395661:o0:t0"", ""page"": ""העיר""}, {""method"": ""conj_table_past_exact"", ""root"": ""ע-ו-ר"", ""binyan"": ""HIFIL"", ""binyan_raw"": ""הפעיל"", ""record"": ""wikt:conj:p32407:r266365:t0:הפעיל עבר"", ""page"": ""עור א (שורש)""}, {""method"": ""conj_table_infinitive_exact"", ""root"": ""ע-ו-ר"", ""binyan"": ""HIFIL"", ""binyan_raw"": ""הפעיל"", ""record"": ""wikt:conj:p32407:r266365:t0:הפעיל שם הפועל"", ""page"": ""עור א (שורש)""}]"	wikt:conj:p32407:r266365:t0:הפעיל עבר|wikt:conj:p32407:r266365:t0:הפעיל שם הפועל|wikt:entry:p53240:r395661:o0:t0
WIKT_FORM_MISMATCH	form	LX-de6e534bda.IMP.2MSG	הָזָה	UniMorph הֲזֵה vs Wiktionary הֱזֵה		wikt:conj:p32387:r270690:t0:קל ציווי
WIKT_FORM_MISMATCH	form	LX-b7acb7ab10.FUT.3MSG	הֻגְבַּר	UniMorph יֻגְבַּר vs Wiktionary יֻגְבָּר		wikt:conj:p56461:r383241:t0:הופעל עתיד
WIKT_FORM_MISMATCH	form	LX-76b5be462b.FUT.3MSG	הֻרְשַׁע	UniMorph יֻרְשַׁע vs Wiktionary יֻרְשָׁע		wikt:conj:p57682:r399730:t0:הופעל עתיד
WIKT_FORM_MISMATCH	form	LX-ff60cb398a.IMP.2MSG	הוֹשִׁיעַ	UniMorph הוֹשֵׁעַ vs Wiktionary הוֹשַׁע		wikt:conj:p33751:r522404:t0:הפעיל ציווי
ROOT_AMBIGUOUS	lexeme	LX-d7a81169f7	הוּאַר	evidence supports several roots: אור, ארר	"[{""method"": ""conj_table_past_exact"", ""root"": ""א-ו-ר"", ""binyan"": ""HUFAL"", ""record"": ""wikt:conj:p31944:r408780:t0:הופעל עבר"", ""page"": ""אור (שורש)""}, {""method"": ""conj_table_past_exact"", ""root"": ""א-ר-ר"", ""binyan"": ""HUFAL"", ""record"": ""wikt:conj:p48014:r297601:t0:הופעל עבר"", ""page"": ""ארר (שורש)""}]"	wikt:conj:p31944:r408780:t0:הופעל עבר|wikt:conj:p48014:r297601:t0:הופעל עבר
ROOT_AMBIGUOUS	lexeme	LX-b36fd75c35	הוּטַב	evidence supports several roots: טוב, יטב	"[{""method"": ""conj_table_past_exact"", ""root"": ""י-ט-ב"", ""binyan"": ""HUFAL"", ""record"": ""wikt:conj:p34347:r422477:t0:הופעל עבר"", ""page"": ""יטב (שורש)""}, {""method"": ""conj_table_past_exact"", ""root"": ""ט-ו-ב"", ""binyan"": ""HUFAL"", ""record"": ""wikt:conj:p40792:r438225:t0:הופעל עבר"", ""page"": ""טוב (שורש)""}]"	wikt:conj:p34347:r422477:t0:הופעל עבר|wikt:conj:p40792:r438225:t0:הופעל עבר
WIKT_FORM_MISMATCH	form	LX-a74f1fcae7.PRS.MSG	הוּשַׁב	UniMorph מוּשָׁב vs Wiktionary מוּשַׁב		wikt:conj:p30554:r324083:t0:הופעל הווה
ROOT_AMBIGUOUS	lexeme	LX-8d3da3f90b	חָג	evidence supports several roots: חגג, חוג, חיג	"[{""method"": ""entry_headword_exact"", ""root"": ""ח-ו-ג"", ""binyan"": ""PAAL"", ""record"": ""wikt:entry:p19874:r521539:o4538:t0"", ""page"": ""חג""}, {""method"": ""conj_table_past_exact"", ""root"": ""ח-ג-ג"", ""binyan"": ""PAAL"", ""record"": ""wikt:conj:p31977:r270602:t0:קל עבר"", ""page"": ""חגג (שורש)""}, {""method"": ""conj_table_past_exact"", ""root"": ""ח-י-ג"", ""binyan"": ""PAAL"", ""record"": ""wikt:conj:p32104:r370599:t0:קל עבר"", ""page"": ""חוג (שורש)""}, {""method"": ""conj_table_infinitive_exact"", ""root"": ""ח-י-ג"", ""binyan"": ""PAAL"", ""record"": ""wikt:conj:p32104:r370599:t0:קל שם הפועל"", ""page"": ""חוג (שורש)""}]"	wikt:conj:p31977:r270602:t0:קל עבר|wikt:conj:p32104:r370599:t0:קל עבר|wikt:conj:p32104:r370599:t0:קל שם הפועל|wikt:entry:p19874:r521539:o4538:t0
WIKT_FORM_MISMATCH	form	LX-84c0234a15.FUT.3MSG	חָגַר	UniMorph יַחֲגֹר vs Wiktionary יַחְגֹּר		wikt:conj:p31118:r404550:t0:קל עתיד
ROOT_AMBIGUOUS	lexeme	LX-f4db6e236f	חָל	evidence supports several roots: חול, חיל	"[{""method"": ""entry_headword_exact"", ""root"": ""ח-ו-ל"", ""binyan"": ""PAAL"", ""record"": ""wikt:entry:p3884:r511235:o156:t0"", ""page"": ""חל""}, {""method"": ""entry_headword_exact"", ""root"": ""ח-ו-ל"", ""binyan"": ""PAAL"", ""record"": ""wikt:entry:p3884:r511235:o1189:t0"", ""page"": ""חל""}, {""method"": ""conj_table_past_exact"", ""root"": ""ח-י-ל"", ""binyan"": ""PAAL"", ""record"": ""wikt:conj:p11583:r321026:t0:קל עבר"", ""page"": ""חיל א (שורש)""}, {""method"": ""conj_table_past_exact"", ""root"": ""ח-ו-ל"", ""binyan"": ""PAAL"", ""record"": ""wikt:conj:p20089:r163651:t0:קל עבר"", ""page"": ""חול (שורש)""}, {""method"": ""conj_table_infinitive_exact"", ""root"": ""ח-ו-ל"", ""binyan"": ""PAAL"", ""record"": ""wikt:conj:p20089:r163651:t0:קל שם הפועל"", ""page"": ""חול (שורש)""}]"	wikt:conj:p11583:r321026:t0:קל עבר|wikt:conj:p20089:r163651:t0:קל עבר|wikt:conj:p20089:r163651:t0:קל שם הפועל|wikt:entry:p3884:r511235:o1189:t0|wikt:entry:p3884:r511235:o156:t0
WIKT_FORM_MISMATCH	form	LX-82433c8f40.NFIN	חָמַד	UniMorph לַחְמֹד vs Wiktionary לַחֲמֹד		wikt:conj:p45457:r270872:t0:קל שם הפועל
WIKT_FORM_MISMATCH	form	LX-736ba46633.FUT.3MSG	חָנַק	UniMorph יַחֲנֹק vs Wiktionary יַחְנֹק		wikt:conj:p46280:r380855:t0:קל עתיד
WIKT_FORM_MISMATCH	form	LX-736ba46633.NFIN	חָנַק	UniMorph לַחֲנֹק vs Wiktionary לַחְנֹק		wikt:conj:p46280:r380855:t0:קל שם הפועל
WIKT_FORM_MISMATCH	form	LX-4bb8ff844c.FUT.3MSG	חָנָה	UniMorph יֶחֱנֶה vs Wiktionary יַחְנֶה		wikt:conj:p45454:r445397:t0:קל עתיד
WIKT_FORM_MISMATCH	form	LX-4bb8ff844c.NFIN	חָנָה	UniMorph לַחֲנוֹת vs Wiktionary לַחְנוֹת		wikt:conj:p45454:r445397:t0:קל שם הפועל
WIKT_FORM_MISMATCH	form	LX-c56987a72e.FUT.3MSG	חָקַר	UniMorph יַחְקֹר vs Wiktionary יַחֲקֹר		wikt:conj:p22236:r158531:t0:קל עתיד
WIKT_FORM_MISMATCH	form	LX-c56987a72e.NFIN	חָקַר	UniMorph לַחְקֹר vs Wiktionary לַחֲקֹר		wikt:conj:p22236:r158531:t0:קל שם הפועל
WIKT_FORM_MISMATCH	form	LX-87906e22bd.FUT.3MSG	חָרַב	UniMorph יֶחֱרַב vs Wiktionary יֶחְרַב		wikt:conj:p32826:r513463:t0:קל עתיד
ROOT_AMBIGUOUS	lexeme	LX-ef36af359d	חָרָה	evidence supports several roots: חרה, חרר	"[{""method"": ""entry_headword_exact"", ""root"": ""ח-ר-ה"", ""binyan"": ""PAAL"", ""record"": ""wikt:entry:p11898:r518311:o66:t0"", ""page"": ""חרה""}, {""method"": ""entry_headword_exact"", ""root"": ""ח-ר-ר"", ""binyan"": null, ""record"": ""wikt:entry:p11898:r518311:o1133:t0"", ""page"": ""חרה""}]"	wikt:entry:p11898:r518311:o1133:t0|wikt:entry:p11898:r518311:o66:t0
WIKT_FORM_MISMATCH	form	LX-f77a5756d8.FUT.3MSG	חָתַךְ	UniMorph יַחְתֹּךְ vs Wiktionary יַחְתוֹךְ		wikt:conj:p58521:r521367:t0:קל עתיד
WIKT_FORM_MISMATCH	form	LX-f77a5756d8.NFIN	חָתַךְ	UniMorph לַחְתֹּךְ vs Wiktionary לַחְתוֹךְ		wikt:conj:p58521:r521367:t0:קל שם הפועל
WIKT_FORM_MISMATCH	form	LX-ebbb34c23c.PRS.MSG	חֻזַּק	UniMorph מְחֻזָּק vs Wiktionary מְחַזָּק		wikt:conj:p45614:r237300:t0:פועל הווה
WIKT_FORM_MISMATCH	form	LX-ebbb34c23c.FUT.3MSG	חֻזַּק	UniMorph יְחֻזַּק vs Wiktionary יְחַזַּק		wikt:conj:p45614:r237300:t0:פועל עתיד
WIKT_FORM_MISMATCH	form	LX-616f0e955d.PST.1SG	יָצַר	UniMorph יָצַרְתִּי vs Wiktionary יָצַרתִּי		wikt:full:p24870:r508929:t0:מדבר_עבר
WIKT_FORM_MISMATCH	form	LX-616f0e955d.IMP.2MSG	יָצַר	UniMorph צור vs Wiktionary יְצֹר | צֹר		wikt:conj:p52581:r402724:t0:קל ציווי|wikt:full:p24870:r508929:t0:נוכח_צווי
WIKT_FORM_MISMATCH	form	LX-616f0e955d.NFIN	יָצַר	UniMorph ליצור vs Wiktionary לִצֹּר		wikt:conj:p52581:r402724:t0:קל שם הפועל
WIKT_FORM_MISMATCH	form	LX-85351b2f42.IMP.2MSG	יָרַשׁ	UniMorph יְרַשׁ vs Wiktionary רֵשׁ | רַשׁ		wikt:conj:p33119:r324085:t0:קל ציווי
WIKT_FORM_MISMATCH	form	LX-16667d60db.IMP.2MSG	יָשַׁן	UniMorph יְשַׁן vs Wiktionary שַׁן		wikt:conj:p30833:r234469:t0:קל ציווי|wikt:conj:p30834:r270098:t0:קל ציווי
WIKT_FORM_MISMATCH	form	LX-359f94bcdb.PRS.MSG	כָּלָה	UniMorph כָּלֶה vs Wiktionary כּוֹלֶה		wikt:conj:p33261:r266412:t0:קל הווה
WIKT_FORM_MISMATCH	form	LX-4f44e4fd0c.NFIN	כָּעַס	UniMorph לִכְעֹס vs Wiktionary לְכְעוֹס		wikt:conj:p57622:r398414:t0:קל שם הפועל
VOC_UNVOC_INCONSISTENT	form	LX-84d1314266.PST.1SG	כָּרַת	vocalized כָּרַתִּי (stripped כרתי) vs plene כרתתי		heb_voc:25261|heb:25293
VOC_UNVOC_INCONSISTENT	form	LX-84d1314266.PST.2MSG	כָּרַת	vocalized כָּרַתָּ (stripped כרת) vs plene כרתת		heb_voc:25262|heb:25291
VOC_UNVOC_INCONSISTENT	form	LX-84d1314266.PST.2FSG	כָּרַת	vocalized כָּרַתְּ (stripped כרת) vs plene כרתת		heb_voc:25259|heb:25292
VOC_UNVOC_INCONSISTENT	form	LX-84d1314266.PST.2MPL	כָּרַת	vocalized כְּרַתֶּם (stripped כרתם) vs plene כרתתם		heb_voc:25250|heb:25294
VOC_UNVOC_INCONSISTENT	form	LX-84d1314266.PST.2FPL	כָּרַת	vocalized כְּרַתֶּן (stripped כרתן) vs plene כרתתן		heb_voc:25251|heb:25295
WIKT_FORM_MISMATCH	form	LX-14fb70d88d.IMP.2MSG	לָקַח	UniMorph לְקַח vs Wiktionary קַח		wikt:conj:p30682:r486224:t0:קל ציווי
WIKT_FORM_MISMATCH	form	LX-14fb70d88d.NFIN	לָקַח	UniMorph לִקֹּחַ vs Wiktionary לִקַּח | לָקַחַת		wikt:conj:p30682:r486224:t0:קל שם הפועל
WIKT_FORM_MISMATCH	form	LX-e2d7408010.IMP.2MSG	נִבְנָה	UniMorph הִבָּנֵה vs Wiktionary הִבָּנֶה		wikt:conj:p17633:r414328:t0:נפעל ציווי
WIKT_FORM_MISMATCH	form	LX-770850bf80.IMP.2MSG	נִדְחָה	UniMorph הִדָּחֵה vs Wiktionary הִדָּחֶה		wikt:conj:p56539:r384341:t0:נפעל ציווי
VOC_UNVOC_INCONSISTENT	form	LX-073639b610.PST.1SG	נִכְרַת	vocalized נִכְרַתִּי (stripped נכרתי) vs plene נכרתתי		heb_voc:26306|heb:27039
VOC_UNVOC_INCONSISTENT	form	LX-073639b610.PST.2MSG	נִכְרַת	vocalized נִכְרַתָּ (stripped נכרת) vs plene נכרתת		heb_voc:26309|heb:27036
VOC_UNVOC_INCONSISTENT	form	LX-073639b610.PST.2FSG	נִכְרַת	vocalized נִכְרַתְּ (stripped נכרת) vs plene נכרתת		heb_voc:26304|heb:27037
VOC_UNVOC_INCONSISTENT	form	LX-073639b610.PST.2MPL	נִכְרַת	vocalized נִכְרַתֶּם (stripped נכרתם) vs plene נכרתתם		heb_voc:26307|heb:27040
VOC_UNVOC_INCONSISTENT	form	LX-073639b610.PST.2FPL	נִכְרַת	vocalized נִכְרַתֶּן (stripped נכרתן) vs plene נכרתתן		heb_voc:26308|heb:27041
WIKT_FORM_MISMATCH	form	LX-9c8c65490a.PRS.MSG	נִסְגַּר	UniMorph נִסְגָּר vs Wiktionary נְסְגָּר		wikt:conj:p56472:r383392:t0:נפעל הווה
BINYAN_AMBIGUOUS	lexeme	LX-5a8b7d9716	נִצֵּל	evidence supports several binyanim: NIFAL, PIEL	"[{""method"": ""entry_headword_exact"", ""root"": ""נ-צ-ל"", ""binyan"": ""NIFAL"", ""binyan_raw"": ""נפעל"", ""record"": ""wikt:entry:p25480:r512639:o1700:t0"", ""page"": ""נצל""}, {""method"": ""conj_table_past_exact"", ""root"": ""נ-צ-ל"", ""binyan"": ""PIEL"", ""binyan_raw"": ""פיעל"", ""record"": ""wikt:conj:p45607:r297018:t0:פיעל עבר"", ""page"": ""נצל (שורש)""}, {""method"": ""conj_table_infinitive_exact"", ""root"": ""נ-צ-ל"", ""binyan"": ""PIEL"", ""binyan_raw"": ""פיעל"", ""record"": ""wikt:conj:p45607:r297018:t0:פיעל שם הפועל"", ""page"": ""נצל (שורש)""}]"	wikt:conj:p45607:r297018:t0:פיעל עבר|wikt:conj:p45607:r297018:t0:פיעל שם הפועל|wikt:entry:p25480:r512639:o1700:t0
WIKT_FORM_MISMATCH	form	LX-9300efaa00.PRS.MSG	נִקְנָה	UniMorph נִקְנֶה vs Wiktionary נִקְנָה		wikt:conj:p32968:r270804:t0:נפעל הווה
BINYAN_AMBIGUOUS	lexeme	LX-415c771e37	נִקָּה	evidence supports several binyanim: NIFAL, PIEL	"[{""method"": ""entry_headword_exact"", ""root"": ""נ-ק-ה"", ""binyan"": ""PIEL"", ""binyan_raw"": ""פיעל"", ""record"": ""wikt:entry:p51008:r516599:o0:t0"", ""page"": ""נקה""}, {""method"": ""entry_headword_exact"", ""root"": ""נ-ק-ה"", ""binyan"": ""NIFAL"", ""binyan_raw"": ""נפעל"", ""record"": ""wikt:entry:p51008:r516599:o1030:t0"", ""page"": ""נקה""}]"	wikt:entry:p51008:r516599:o0:t0|wikt:entry:p51008:r516599:o1030:t0
WIKT_FORM_MISMATCH	form	LX-03b66917fd.NFIN	נֶאֱמַן	UniMorph לְהֵאָמֵן vs Wiktionary להֵאָמֵן		wikt:conj:p45987:r521925:t0:נפעל שם הפועל
WIKT_FORM_MISMATCH	form	LX-488a06c074.NFIN	נֶהֱנָה	UniMorph ליהנות vs Wiktionary לֵהָנוֹת		wikt:conj:p34897:r286118:t0:נפעל שם הפועל
WIKT_FORM_MISMATCH	form	LX-7f3553a9e1.NFIN	נֶחְקַר	UniMorph לְהֵחָקֵר vs Wiktionary לְהֵחָקר		wikt:conj:p22236:r158531:t0:נפעל שם הפועל
WIKT_FORM_MISMATCH	form	LX-50f7529e25.IMP.2MSG	נָבַל	UniMorph נְבֹל vs Wiktionary בֹּל		wikt:conj:p33139:r270859:t0:קל ציווי
WIKT_FORM_MISMATCH	form	LX-50f7529e25.NFIN	נָבַל	UniMorph לִבֹּל vs Wiktionary לִנְבֹּל		wikt:conj:p33139:r270859:t0:קל שם הפועל
WIKT_TABLE_ASSERTS_ROOT_BINYAN_ABSENT	lexeme	LX-66f2569f15	נָגַהּ	a Wiktionary conjugation table marks נגה x PAAL as non-existent (-אין-)		wikt:conj:p17782:r266301:t0:קל עבר
WIKT_FORM_MISMATCH	form	LX-b49f377bc6.IMP.2MSG	נָטַל	UniMorph נְטֹל vs Wiktionary טֹל		wikt:conj:p30884:r270443:t0:קל ציווי
WIKT_FORM_MISMATCH	form	LX-4dbe934641.PRS.MSG	נָטַע	UniMorph נוֹטֵעַ vs Wiktionary נָטוּע | נוֹטֵע		wikt:conj:p30813:r472333:t0:קל הווה
WIKT_FORM_MISMATCH	form	LX-4dbe934641.IMP.2MSG	נָטַע	UniMorph נְטַע vs Wiktionary טַע		wikt:conj:p30813:r472333:t0:קל ציווי
WIKT_FORM_MISMATCH	form	LX-4dbe934641.NFIN	נָטַע	UniMorph לִטֹּעַ vs Wiktionary לִטַּע | לִנְטֹעַ | לָטַעַת		wikt:conj:p30813:r472333:t0:קל שם הפועל
WIKT_FORM_MISMATCH	form	LX-e0f85e0df1.PRS.MSG	נָעַם	UniMorph נָעִים vs Wiktionary נָעֵם | נוֹעֵם		wikt:conj:p56858:r388233:t0:קל הווה
WIKT_FORM_MISMATCH	form	LX-e0f85e0df1.FUT.3MSG	נָעַם	UniMorph יִנְעַם vs Wiktionary יִנְעָם		wikt:conj:p56858:r388233:t0:קל עתיד
WIKT_FORM_MISMATCH	form	LX-e0f85e0df1.NFIN	נָעַם	UniMorph לִנְעֹם vs Wiktionary לִנְעָם		wikt:conj:p56858:r388233:t0:קל שם הפועל
WIKT_FORM_MISMATCH	form	LX-7d64a73c52.FUT.3MSG	נָעַר	UniMorph יִנְעַר vs Wiktionary יִנְעֹר		wikt:conj:p22389:r101684:t0:קל עתיד
WIKT_FORM_MISMATCH	form	LX-80738017ef.IMP.2MSG	נָפַל	UniMorph נְפֹל vs Wiktionary פֹּל		wikt:conj:p31101:r353599:t0:קל ציווי
WIKT_FORM_MISMATCH	form	LX-0dd13b0a79.IMP.2MSG	נָשַׁךְ	UniMorph נְשֹׁךְ vs Wiktionary נְשַׁךְ | שַׁךְ		wikt:conj:p31103:r511205:t0:קל ציווי
WIKT_FORM_MISMATCH	form	LX-cfb75fb8a2.NFIN	נָשַׁק	UniMorph לנשוק vs Wiktionary לִנְשֹׁק | לִנְשׁוֹק | לִשַּׁק | לִשּׁוֹק | נָשֹׁק		wikt:conj:p43013:r445401:t0:קל שם הפועל|wikt:conj:p56708:r386332:t0:קל שם הפועל|wikt:full:p23828:r508930:t0:מקור
BINYAN_AMBIGUOUS	lexeme	LX-cb3830c820	סִמֵּן	evidence supports several binyanim: PAAL, PIEL	"[{""method"": ""entry_headword_exact"", ""root"": ""ס-מ-נ"", ""binyan"": ""PAAL"", ""binyan_raw"": ""קל"", ""record"": ""wikt:entry:p8592:r453028:o48:t0"", ""page"": ""סמן""}, {""method"": ""conj_table_past_exact"", ""root"": ""ס-מ-נ"", ""binyan"": ""PIEL"", ""binyan_raw"": ""פיעל"", ""record"": ""wikt:conj:p20099:r429830:t0:פיעל עבר"", ""page"": ""סמן (שורש)""}]"	wikt:conj:p20099:r429830:t0:פיעל עבר|wikt:entry:p8592:r453028:o48:t0
WIKT_FORM_MISMATCH	form	LX-f1da8bbf7d.PRS.MSG	עָצַם	UniMorph עוֹצֵם vs Wiktionary עָצֵם		wikt:conj:p57830:r402861:t0:קל הווה
WIKT_FORM_MISMATCH	form	LX-6bdcd8bb1b.PRS.MSG	פֻּשַּׁט	UniMorph מְפֻשָּׁט vs Wiktionary מְפֻשַּׁט		wikt:conj:p22237:r438681:t0:פועל הווה
WIKT_FORM_MISMATCH	form	LX-6bdcd8bb1b.FUT.3MSG	פֻּשַּׁט	UniMorph יְפֻשַּׁט vs Wiktionary יְפֻשֵּׁט		wikt:conj:p22237:r438681:t0:פועל עתיד
WIKT_TABLE_ASSERTS_ROOT_BINYAN_ABSENT	lexeme	LX-d335ed95d8	צָבַע	a Wiktionary conjugation table marks צבע x PAAL as non-existent (-אין-)		wikt:conj:p10884:r269950:t0:קל עבר
WIKT_FORM_MISMATCH	form	LX-9359efa622.FUT.3MSG	צָחַק	UniMorph יִצְחַק vs Wiktionary יִצְחָק		wikt:conj:p46466:r518942:t0:קל עתיד
WIKT_FORM_MISMATCH	form	LX-e5cd4ef5f5.PRS.MSG	צָמַח	UniMorph צוֹמֵחַ vs Wiktionary צוֹמַחַ		wikt:conj:p56995:r518943:t0:קל הווה
WIKT_FORM_MISMATCH	form	LX-e5cd4ef5f5.NFIN	צָמַח	UniMorph לִצְמֹחַ vs Wiktionary לְצְמוֹחַ		wikt:conj:p56995:r518943:t0:קל שם הפועל
BINYAN_SHAPE_DISAGREES	lexeme	LX-c9f52c0679	רִצֵּד	source binyan PAAL but paradigm shape suggests PIEL (prs_me); PRS.MSG=מְרַצֵּד NFIN=לְרַצֵּד		wikt:entry:p28627:r372947:o0:t0
VOC_UNVOC_INCONSISTENT	form	LX-f24c0c7236.PST.1SG	רִשֵּׁת	vocalized רִשַּׁתִּי (stripped רשתי) vs plene רישתתי		heb_voc:31301|heb:31435
VOC_UNVOC_INCONSISTENT	form	LX-f24c0c7236.PST.2MSG	רִשֵּׁת	vocalized רִשַּׁתָּ (stripped רשת) vs plene רישתת		heb_voc:31304|heb:31433
VOC_UNVOC_INCONSISTENT	form	LX-f24c0c7236.PST.2FSG	רִשֵּׁת	vocalized רִשַּׁתְּ (stripped רשת) vs plene רישתת		heb_voc:31299|heb:31434
VOC_UNVOC_INCONSISTENT	form	LX-f24c0c7236.PST.2MPL	רִשֵּׁת	vocalized רִשַּׁתֶּם (stripped רשתם) vs plene רישתתם		heb_voc:31302|heb:31436
VOC_UNVOC_INCONSISTENT	form	LX-f24c0c7236.PST.2FPL	רִשֵּׁת	vocalized רִשַּׁתֶּן (stripped רשתן) vs plene רישתתן		heb_voc:31303|heb:31437
WIKT_FORM_MISMATCH	form	LX-47d1ba36b1.FUT.3MSG	רָכַב	UniMorph יִרְכֹּב vs Wiktionary יִרְכַּב		wikt:conj:p43839:r270866:t0:קל עתיד
WIKT_FORM_MISMATCH	form	LX-47d1ba36b1.IMP.2MSG	רָכַב	UniMorph רְכֹב vs Wiktionary רְכַב		wikt:conj:p43839:r270866:t0:קל ציווי
VOC_UNVOC_INCONSISTENT	form	LX-d602805687.PST.1SG	שֵׁרֵת	vocalized שֵׁרַתִּי (stripped שרתי) vs plene שירתתי		heb_voc:32042|heb:32448
VOC_UNVOC_INCONSISTENT	form	LX-d602805687.PST.2MSG	שֵׁרֵת	vocalized שֵׁרַתָּ (stripped שרת) vs plene שירתת		heb_voc:32045|heb:32446
VOC_UNVOC_INCONSISTENT	form	LX-d602805687.PST.2FSG	שֵׁרֵת	vocalized שֵׁרַתְּ (stripped שרת) vs plene שירתת		heb_voc:32040|heb:32447
VOC_UNVOC_INCONSISTENT	form	LX-d602805687.PST.2MPL	שֵׁרֵת	vocalized שֵׁרַתֶּם (stripped שרתם) vs plene שירתתם		heb_voc:32043|heb:32449
VOC_UNVOC_INCONSISTENT	form	LX-d602805687.PST.2FPL	שֵׁרֵת	vocalized שֵׁרַתֶּן (stripped שרתן) vs plene שירתתן		heb_voc:32044|heb:32450
WIKT_FORM_MISMATCH	form	LX-c498149530.FUT.3MSG	שָׁבַר	UniMorph יִשְׁבֹּר vs Wiktionary יִשׁבֹּר		wikt:conj:p37647:r444409:t0:קל עתיד
VOC_UNVOC_INCONSISTENT	form	LX-84c2e16a81.PST.1SG	שָׁבַת	vocalized שָׁבַתִּי (stripped שבתי) vs plene שבתתי		heb_voc:32161|heb:31725
VOC_UNVOC_INCONSISTENT	form	LX-84c2e16a81.PST.2MSG	שָׁבַת	vocalized שָׁבַתָּ (stripped שבת) vs plene שבתת		heb_voc:32162|heb:31723
VOC_UNVOC_INCONSISTENT	form	LX-84c2e16a81.PST.2FSG	שָׁבַת	vocalized שָׁבַתְּ (stripped שבת) vs plene שבתת		heb_voc:32159|heb:31724
VOC_UNVOC_INCONSISTENT	form	LX-84c2e16a81.PST.2MPL	שָׁבַת	vocalized שְׁבַתֶּם (stripped שבתם) vs plene שבתתם		heb_voc:32150|heb:31726
VOC_UNVOC_INCONSISTENT	form	LX-84c2e16a81.PST.2FPL	שָׁבַת	vocalized שְׁבַתֶּן (stripped שבתן) vs plene שבתתן		heb_voc:32151|heb:31727
WIKT_FORM_MISMATCH	form	LX-46234064d7.NFIN	שָׁפַט	UniMorph לִשְׁפֹּט vs Wiktionary לְשְׁפֹּט		wikt:conj:p20043:r329086:t0:קל שם הפועל
ROOT_AMBIGUOUS	lexeme	LX-156883c374	שָׁר	evidence supports several roots: שור, שיר	"[{""method"": ""entry_headword_exact"", ""root"": ""שׁ-י-ר"", ""binyan"": ""PAAL"", ""record"": ""wikt:entry:p11842:r520476:o67:t0"", ""page"": ""שר""}, {""method"": ""entry_headword_exact"", ""root"": ""שׁ-ו-ר"", ""binyan"": ""PAAL"", ""record"": ""wikt:entry:p11842:r520476:o3407:t0"", ""page"": ""שר""}, {""method"": ""conj_table_past_exact"", ""root"": ""שׁ-י-ר"", ""binyan"": ""PAAL"", ""record"": ""wikt:conj:p31134:r513113:t0:קל עבר"", ""page"": ""שׁיר א (שורש)""}, {""method"": ""conj_table_infinitive_exact"", ""root"": ""שׁ-י-ר"", ""binyan"": ""PAAL"", ""record"": ""wikt:conj:p31134:r513113:t0:קל שם הפועל"", ""page"": ""שׁיר א (שורש)""}]"	wikt:conj:p31134:r513113:t0:קל עבר|wikt:conj:p31134:r513113:t0:קל שם הפועל|wikt:entry:p11842:r520476:o3407:t0|wikt:entry:p11842:r520476:o67:t0
VOC_UNVOC_INCONSISTENT	form	LX-42d535a285.PST.1SG	שָׁת	vocalized שַׁתִּי (stripped שתי) vs plene שתתי		heb_voc:32473|heb:32856
VOC_UNVOC_INCONSISTENT	form	LX-42d535a285.PST.2MSG	שָׁת	vocalized שַׁתָּ (stripped שת) vs plene שתת		heb_voc:32476|heb:32854
VOC_UNVOC_INCONSISTENT	form	LX-42d535a285.PST.2FSG	שָׁת	vocalized שַׁתְּ (stripped שת) vs plene שתת		heb_voc:32471|heb:32855
VOC_UNVOC_INCONSISTENT	form	LX-42d535a285.PST.2MPL	שָׁת	vocalized שַׁתֶּם (stripped שתם) vs plene שתתם		heb_voc:32474|heb:32857
VOC_UNVOC_INCONSISTENT	form	LX-42d535a285.PST.2FPL	שָׁת	vocalized שַׁתֶּן (stripped שתן) vs plene שתתן		heb_voc:32475|heb:32858
VOC_UNVOC_INCONSISTENT	form	LX-44b810fc8a.PST.1SG	תִּכְנֵת	vocalized תִּכְנַתִּי (stripped תכנתי) vs plene תיכנתתי		heb_voc:32915|heb:32962
VOC_UNVOC_INCONSISTENT	form	LX-44b810fc8a.PST.2MSG	תִּכְנֵת	vocalized תִּכְנַתָּ (stripped תכנת) vs plene תיכנתת		heb_voc:32918|heb:32960
VOC_UNVOC_INCONSISTENT	form	LX-44b810fc8a.PST.2FSG	תִּכְנֵת	vocalized תִּכְנַתְּ (stripped תכנת) vs plene תיכנתת		heb_voc:32913|heb:32961
VOC_UNVOC_INCONSISTENT	form	LX-44b810fc8a.PST.2MPL	תִּכְנֵת	vocalized תִּכְנַתֶּם (stripped תכנתם) vs plene תיכנתתם		heb_voc:32916|heb:32963
VOC_UNVOC_INCONSISTENT	form	LX-44b810fc8a.PST.2FPL	תִּכְנֵת	vocalized תִּכְנַתֶּן (stripped תכנתן) vs plene תיכנתתן		heb_voc:32917|heb:32964
